date;Incheon;Seoul;Gyeonggi;Gangwon;Gyeongbuk;Daegu;Gyeongnam;Busan;Ulsan;Chungbuk;Sejong;Daejeon;Chungnam;Jeonbuk;Gwangju;Jeonnam;Jeju;Airport_Screening;new_confirmed;total_confirmed;new_deaths;total_deaths;total_tested;current_tested;total_discharged
2020-01-24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;27;0;0
2020-01-26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;51;1;0
2020-01-27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;61;1;0
2020-01-30;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;0;0;244;41;0
2020-01-31;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;11;0;0;0;0;0
2020-02-01;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;371;70;0
2020-02-02;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;15;0;0;429;87;0
2020-02-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16;0;0;607;129;0
2020-02-05;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;18;0;0;714;174;0
2020-02-06;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;23;0;0;885;169;0
2020-02-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0;1;264;2
2020-02-09;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;52;0;0;4;1848;5
2020-02-11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;0;0;3;865;4
2020-02-16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29;0;0;7;408;9
2020-02-17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;0;0;8;577;9
2020-02-18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;31;0;0;9;957;10
2020-02-19;0;2;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;20;97;0;0;21;2;28
2020-02-20;0;2;0;0;8;30;0;0;0;0;0;0;0;0;0;0;0;0;53;186;1;1;25;2;32
2020-02-21;0;5;2;0;0;80;4;0;0;1;0;0;1;1;2;0;1;0;100;360;1;4;30;5;33
2020-02-22;0;3;6;5;117;83;0;3;134;2;132;2;0;1;3;1;1;0;229;779;0;4;40;11;35
2020-02-23;0;1;4;0;5;93;10;8;0;0;0;1;0;0;2;0;1;0;169;1158;2;8;47;14;36
2020-02-24;0;4;11;0;12;173;3;15;1;0;0;0;0;0;1;0;0;0;231;1596;3;14;58;19;40
2020-02-25;0;6;7;0;0;60;3;8;1;1;0;0;1;0;0;0;0;0;144;1870;3;18;76;26;44
2020-02-26;1;8;8;0;68;134;11;16;1;0;0;2;1;0;0;0;0;0;284;2;2;23;99;36;46
2020-02-27;0;7;11;0;28;307;9;3;5;3;0;4;9;2;0;0;0;0;505;2;1;25;123;46;50
